"Genes","B_memory","B_naive","DC_cell","HCC_cell_lines","M1_IFNg","M1_IFNg_TNF","M1_LPS","M2_IL4_Dex","M2a","M2c","naive_CD4_T","naive_CD8_T","NK_cell","Th1","Th2","Treg","memory_CD8_Tcell"
"RAI1",7.050210425,6.192426586,8.893120528,9.378878693,8.709150057,6.933000058,7.633246917,8.616901362,8.372972145,8.648065094,8.840460386,7.533667181,9.079933697,8.183407481,9.53094898,4.438190178,7.308352442
"ZNF697",7.927239163,3.558437596,8.626183867,7.572554041,9.664248866,8.945496699,10.20099862,9.458351838,10.15725128,7.184554263,5.154645554,3.515272544,4.610892322,4.354376282,8.529076417,4.007833404,3.608149986
"CNKSR2",4.391043427,8.423712604,3.198295757,4.175765628,2.936230089,3.240518211,3.259792265,2.812030981,2.788352863,3.421684985,7.516889835,5.297706809,3.599595384,5.035585742,6.981151818,4.388036279,3.090642561
"PTBP2",6.559440538,9.512120108,6.885566024,8.034873117,4.512360706,4.932277362,6.042941364,7.139855171,6.038834565,7.370877885,8.563460641,7.412631806,7.924010998,7.339397072,8.436622507,5.501242675,7.959169711
"B3GNT5",3.734786203,4.174100095,10.77429923,6.882428757,8.324888436,8.982331459,10.77312179,9.848562058,9.860913459,9.525239396,4.487506216,3.609975109,6.278711057,3.802775011,10.46603394,8.894647656,4.257676611
"ADGRA3",3.125236637,3.382934166,3.480171796,9.201496322,3.774526231,3.524679109,5.178732601,4.484622698,3.86823887,3.332293392,5.813113472,3.301619179,5.687871125,4.524241139,8.822106581,3.839519915,2.902963033
"PAXBP1",7.027394024,8.673823437,8.314211381,9.19811397,7.024300225,6.685429457,7.618562617,9.469348274,8.002637401,9.061211099,9.789441557,7.472012708,8.893160391,9.28066664,10.32790133,7.005870341,7.454360921
"SLC8A1",3.259143565,3.676251215,7.227984284,3.334613617,10.41186189,7.301003822,9.955709132,5.803270173,8.810218788,10.64856894,3.591583481,3.113538258,3.800306987,3.180773613,5.518779056,3.209932865,2.869482162
"LTB",9.619892234,11.27579513,6.438918291,6.252862422,8.156372183,6.221498678,7.803407006,6.323764502,6.082760405,7.736813495,12.42239598,11.17741684,9.373081552,12.34609046,7.620433557,9.635642162,9.77134514
"SNAI3",4.749035675,4.30205108,6.191554198,4.377371615,6.858823746,5.924827321,5.588074853,8.071823904,8.483128201,5.127778173,4.495920519,4.429067863,6.412279499,5.962096428,4.50158452,4.826763587,4.998075723
"NCALD",4.688902507,3.585734206,4.145682373,4.750640863,4.470825957,5.00214039,4.143809398,3.967620673,4.598617703,4.452313031,5.064099267,5.668216511,8.557752025,9.372913674,5.449418962,4.072515829,7.211223583
"PAFAH1B1",11.58341677,10.09439864,9.998038331,8.932649493,9.376003456,9.983155653,9.897416702,9.17241748,9.063599088,10.12041392,8.178985923,11.11620942,8.868377836,10.05359027,9.143749671,11.0639409,11.32004584
"SH3BP5",11.11614521,11.20216719,9.787545984,6.531359559,11.34375116,11.44557007,11.57055272,10.08448714,11.25814329,8.988000396,9.544471348,10.08383066,11.13230778,10.46041992,7.420165462,9.453600669,10.87601593
"CTSH",11.78139189,9.51096826,11.6494991,8.430746981,12.10653464,12.58199198,11.92954094,12.3500118,12.0880837,12.07173529,5.045912637,6.935907258,6.139565352,9.216045581,5.546819835,5.842668884,7.415422824
"SELL",10.11499299,11.35745191,5.877455795,3.848174023,7.150017469,6.46124016,5.560825409,4.861278652,4.603606554,8.250251473,12.32381175,11.47515201,11.57341711,11.62640693,8.655395492,9.325631411,9.611650884
"PTPN14",3.651333766,3.509532473,3.932337748,8.760658441,4.060898846,4.755816705,3.670185766,3.738694126,3.796928633,3.789937085,4.742459101,4.379619376,5.103555092,5.970487201,11.37757924,3.483244781,3.566311221
"CD27",9.112908012,5.831380005,5.875964305,5.485993539,7.099955424,6.203692235,6.209256835,6.179873981,6.195822212,6.997488423,10.87900679,9.861779613,6.851979307,10.37971469,7.775650269,9.629478594,8.915310142
"TXK",3.520957843,4.476445718,4.978198502,3.510848574,4.967504557,4.047229154,4.047445159,4.679416397,3.867706521,6.089647412,10.3175391,9.803499211,10.40513139,7.54163935,3.994835534,4.317120362,5.492224159
"MUC1",8.163062687,6.275877574,7.856551371,6.42661035,7.720364079,8.530071094,6.331001551,7.339857159,6.558313307,8.003881901,6.545839224,7.029482677,6.446384639,8.32361649,7.297142449,6.338759176,6.834498962
"FLOT1",10.07754759,8.421035824,9.471729173,10.39324525,9.272133551,11.32509811,8.996062533,10.46006058,9.086105362,11.3641985,9.009281378,9.395328164,9.699139458,10.79932003,8.227337066,8.454427642,9.817718546
"ENPP2",4.847530098,4.992558014,7.001107462,5.969855039,8.893058891,5.169672387,5.882411064,6.869365953,7.423411963,12.89389176,5.128242408,3.973199485,4.052452183,7.018341895,3.073294483,3.345051278,2.644280199
"GATA3",4.211228449,4.435466646,5.936021561,6.025890735,6.378976094,5.860611017,5.102120684,4.353241816,4.584403575,5.695604079,10.46568633,8.067439302,11.46253971,11.38892142,12.74589942,9.451328206,9.951209461
"PLA2G4A",3.470754665,3.007936989,5.917394437,3.212890645,8.83704449,8.376333625,8.662456694,7.250936643,7.398783503,8.543917764,2.760061105,2.952317408,3.490104224,3.137308519,9.553955911,3.439487446,2.892112374
"SBNO1",7.424589605,10.45645079,8.205998878,8.538776743,6.191859735,6.76199624,6.757507718,8.485209847,8.019374843,8.775372216,9.129181821,7.846406516,8.391472885,7.906260859,8.855070398,7.201980638,7.464974031
"TRPS1",5.506358594,6.597095259,7.283820285,4.473590661,7.446212428,6.647477085,6.634717094,8.77267237,7.423387964,8.528480404,7.535086611,5.514771898,7.203555445,7.311841669,5.049363506,5.775705257,5.882794265
"FBXO2",6.368332264,5.859879959,5.491591868,7.362527451,6.252681982,5.862357645,5.469836757,6.106426754,5.769981401,6.021022057,5.935451127,6.484201635,6.190731398,6.540635612,5.670784476,6.056161315,6.501279779
"PDE7B",3.2237465,6.208288,4.805311,4.331534,3.971725,4.200816,4.266204,3.987376,4.388986,4.582667,5.7579305,3.129165,4.5647405,4.396714,9.583416,3.885684,2.897338
"AHI1",5.4410945,8.903602,7.27303,7.377908,6.530495,5.7854515,7.6122725,6.603357,6.524066,6.2358525,6.6887685,6.258735,6.20665,8.03303,10.63005,5.0473265,6.236427
"ABHD6",7.3065475,7.187622,9.687797,7.039996,7.704322,4.8561085,9.02555,8.476947,9.5667355,7.779843,5.266891,5.186076,6.0313335,6.281419,8.756588,6.6076775,5.791598
"CEP85L",7.4430845,10.09734,6.534468,6.360983,6.609679,5.5726805,8.869471,6.754082,7.596098,9.4036195,10.87705,9.405513,10.23621,9.053462,10.25711,6.558689,9.555729
"GATA3-AS1",3.4701005,3.16594,3.458374,3.367987,3.437126,3.2680745,3.39733,3.267426,3.19243,3.221418,2.8693365,3.549635,3.038435,3.245884,6.935337,4.774428,3.3545545
"SH2D1B",3.104714574,3.255964922,4.046789923,3.30496363,3.644218352,3.705842622,3.627291755,3.293498807,3.604920947,3.834881605,4.286999127,2.966594274,11.82184828,3.298441282,7.402680493,3.571488124,2.9957439
"CD8B",4.182297752,4.273955404,5.550657651,5.552953841,5.785464684,6.094055192,5.851668137,5.53065622,5.808230606,5.556018585,6.144730866,11.14898401,6.111553676,5.787792285,5.588317985,5.294245906,9.774337281
